Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,ARI,@,SDP,L,2,7,,0-1,3,1.5,Paddack,Bumgarner,,3:05,N,,1.16,-,
2,Saturday Jul 25,boxscore,ARI,@,SDP,L,1,5,,0-2,5,2.0,Lamet,Ray,,3:18,N,,1.17,--,
3,Sunday Jul 26,boxscore,ARI,@,SDP,W,4,3,,1-2,5,1.0,Bradley,Yates,,3:44,D,,1.16,+,
4,Monday Jul 27,boxscore,ARI,@,SDP,L,2,6,,1-3,5,2.0,Quantrill,Weaver,,3:03,D,,1.21,-,
5,Tuesday Jul 28,boxscore,ARI,@,TEX,W,4,1,,2-3,4,2.0,Kelly,Gibson,Bradley,3:10,N,,1.06,+,
6,Wednesday Jul 29,boxscore,ARI,@,TEX,L,4,7,,2-4,5,2.5,Hernández,Chafin,Goody,3:27,D,,1.08,-,
7,Thursday Jul 30,boxscore,ARI,,LAD,L,3,6,,2-5,5,3.0,Stripling,Ray,Báez,3:19,N,,1.17,--,
8,Friday Jul 31,boxscore,ARI,,LAD,W,5,3,,3-5,5,3.0,Rondón,Treinen,Bradley,3:15,N,,1.11,+,
9,Saturday Aug 1,boxscore,ARI,,LAD,L,2,11,,3-6,5,3.0,Urías,Weaver,,2:49,N,,1.17,-,
10,Sunday Aug 2,boxscore,ARI,,LAD,L,0,3,,3-7,5,4.0,Kershaw,Kelly,Jansen,2:56,D,,1.09,--,
11,Tuesday Aug 4,boxscore,ARI,,HOU,L,2,8,,3-8,5,5.5,Javier,Bumgarner,,3:09,N,,.94,---,
12,Wednesday Aug 5,boxscore,ARI,,HOU,W,14,7,,4-8,5,4.5,Ray,McCullers,,3:14,N,,.88,+,
13,Thursday Aug 6,boxscore,ARI,,HOU,W-wo,5,4,,5-8,5,4.5,Guerra,Pressly,,3:15,D,,.93,++,
14,Friday Aug 7,boxscore,ARI,@,SDP,L,0,3,,5-9,5,5.5,Davies,Weaver,Yates,2:27,N,,1.11,-,
15,Saturday Aug 8,boxscore,ARI,@,SDP,W,3,2,,6-9,5,5.5,Kelly,Paddack,Bradley,2:51,N,,1.04,+,
16,Sunday Aug 9,boxscore,ARI,@,SDP,L,5,9,,6-10,5,5.5,Lamet,Bumgarner,,2:59,D,,1.15,-,
17,Monday Aug 10,boxscore,ARI,@,COL,W,12,8,,7-10,4,4.5,Young,Gray,Bradley,3:43,N,,1.03,+,
18,Tuesday Aug 11,boxscore,ARI,@,COL,L,7,8,,7-11,5,5.5,Estévez,Ginkel,Bard,3:16,N,,1.17,-,
19,Wednesday Aug 12,boxscore,ARI,@,COL,W,13,7,,8-11,4,4.5,Chafin,Kinley,,3:56,D,,1.08,+,
20,Friday Aug 14,boxscore,ARI,,SDP,W,5,1,,9-11,4,4.5,Kelly,Lamet,,3:03,N,,1.25,++,
21,Saturday Aug 15,boxscore,ARI,,SDP,W,7,6,,10-11,4,4.5,Crichton,Johnson,Bradley,3:23,N,,1.32,+++,
22,Sunday Aug 16,boxscore,ARI,,SDP,W,5,4,,11-11,3,4.5,Clarke,Pagán,Bradley,3:13,D,,1.42,++++,
23,Monday Aug 17,boxscore,ARI,,OAK,W-wo,4,3,,12-11,3,4.5,Crichton,Soria,,3:06,N,,1.26,+++++,
24,Tuesday Aug 18,boxscore,ARI,,OAK,W,10,1,,13-11,3,4.5,Weaver,Montas,,3:04,D,,1.28,++++++,
25,Wednesday Aug 19,boxscore,ARI,@,OAK,L,1,4,,13-12,4,4.5,Luzardo,Kelly,Hendriks,2:57,N,,1.30,-,
26,Thursday Aug 20,boxscore,ARI,@,OAK,L,1,5,,13-13,4,5.5,Manaea,Young,,2:49,N,,1.29,--,
27,Friday Aug 21,boxscore,ARI,@,SFG,L,2,6,,13-14,4,6.5,Webb,Ray,,2:58,N,,1.43,---,
28,Saturday Aug 22,boxscore,ARI,@,SFG,L,1,5,,13-15,4,7.5,Anderson,Grace,,2:43,N,,1.43,----,
29,Sunday Aug 23,boxscore,ARI,@,SFG,L,1,6,,13-16,5,8.5,Baragar,Weaver,,2:52,D,,1.41,-----,
